code,date,value,description
CKTCEUS,198604,119.165,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198605,124.015,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198606,137.218,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198607,153.817,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198608,141.087,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198609,131.178,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198610,127.002,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198611,127.728,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198612,140.316,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198613,1617.302,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198701,146.362,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198702,127.455,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198703,128.551,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198704,124.514,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198705,133.302,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198706,145.616,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198707,162.214,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198708,161.179,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198709,139.767,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198710,136.307,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198711,135.107,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198712,150.411,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198713,1690.785,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198801,158.478,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198802,144.801,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198803,140.418,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198804,129.284,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198805,133.287,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198806,150.723,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198807,164.757,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198808,170.768,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198809,143.299,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198810,141.375,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198811,140.489,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198812,157.001,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198813,1774.678,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198901,156.906,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198902,147.812,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198903,146.947,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198904,134.625,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198905,138.524,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198906,148.035,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198907,160.429,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198908,161.295,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198909,145.778,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198910,142.993,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198911,144.127,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198912,167.575,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198913,1795.049,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199001,156.941,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199002,139.392,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199003,145.472,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199004,137.763,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199005,140.441,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199006,152.358,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199007,165.305,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199008,168.248,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199009,155.63,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199010,152.532,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199011,145.869,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199012,161.191,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199013,1821.142,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199101,166.414,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199102,139.203,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199103,141.147,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199104,130.785,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
